1711664668 0.00
1711664669 0.00
1711664670 0.00
1711664671 0.00
1711664672 0.00
1711664673 0.00
1711664674 0.00
1711664675 0.00
1711664676 0.00
1711664677 0.00
1711664678 0.00
1711664679 0.00
1711664680 0.00
1711664681 0.00
1711664682 0.00
1711664683 0.00
1711664684 0.00
1711664685 0.00
1711664686 0.00
1711664687 0.00
1711664688 0.00
1711664689 0.00
1711664690 0.00
1711664691 0.00
1711664692 0.00
1711664693 0.00
1711664694 0.00
1711664695 0.00
1711664696 0.00
1711664697 0.00
1711664698 0.00
1711664699 0.00
1711664700 0.00
1711664701 0.00
1711664702 0.00
1711664703 0.00
1711664704 0.00
1711664706 0.00
1711664707 0.00
1711664708 0.00
1711664709 0.00
1711664710 0.00
1711664711 0.00
1711664712 0.00
1711664713 0.00
1711664714 0.00
